<<<<<<< HEAD
Feiertag;Datum;Gesetzlicher_Feiertag;Brueckentag ;Langes_Wochenende ;Wochentag
Allerheiligen;01.11.2018;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;18.11.2018;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;21.11.2018;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;25.11.2018;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2018;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2018;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2018;1;1;1;0;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2018;1;1;0;1;0;0;0;0;0;0;0
Silvester;31.12.2018;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2019;1;1;1;0;0;0;0;0;0;0;0
Heilige Drei Könige;06.01.2019;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2019;0;0;0;0;0;0;0;0;0;0;0
Altweiber;28.02.2019;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;04.03.2019;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;05.03.2019;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;06.03.2019;0;0;0;0;0;0;0;0;0;0;0
Weltfrauentag;08.03.2019;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;18.04.2019;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;19.04.2019;1;0;0;0;0;0;0;0;0;0;0
Ostersamstag;20.04.2019;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;21.04.2019;1;0;0;0;0;0;0;0;0;0;0
Ostermontag;22.04.2019;1;0;0;0;0;0;0;0;0;0;0
Erster Mai;01.05.2019;1;0;0;0;0;0;0;0;0;0;0
Himmelfahrt;30.05.2019;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;09.06.2019;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;10.06.2019;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;20.06.2019;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2019;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2019;1;1;0;0;1;0;0;0;0;0;0
Reformationstag;31.10.2019;1;1;0;0;1;0;0;0;0;0;0
Allerheiligen;01.11.2019;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;17.11.2019;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;20.11.2019;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;24.11.2019;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2019;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2019;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2019;1;0;0;0;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2019;1;1;0;0;1;0;0;0;0;0;0
Silvester;31.12.2019;0;0;0;0;0;0;0;0;0;0;0
>>>>>>> c6dbc4b6334959a8c2ad44341f59297b35f39a96
